1976 US Standard Atmosphere, tabulated
Altitude (km)	Pressure (Pa)	T (K)         	Rho (kg/M^2)	mu (cP) 	SonicVel (m/s)	
74.00000000	2.43771506	208.64999390	0.00004070	0.01377293	289.57049301
75.00000000	2.06790683	206.64999390	0.00003486	0.01366101	288.17932233
76.00000000	1.75139496	204.64999390	0.00002981	0.01354864	286.78140320
77.00000000	1.48091002	202.64999390	0.00002546	0.01343581	285.37663643
78.00000000	1.25011696	200.64999390	0.00002170	0.01332251	283.96492040
79.00000000	1.05350242	198.64999390	0.00001848	0.01320875	282.54615095
80.00000000	0.88627003	196.64999390	0.00001570	0.01309451	281.12022128
81.00000000	0.74427183	194.64999390	0.00001332	0.01297980	279.68702188
82.00000000	0.62389840	192.64999390	0.00001128	0.01286461	278.24644042
83.00000000	0.52203136	190.64999390	0.00000954	0.01274894	276.79836164
84.00000000	0.43597629	188.64999390	0.00000805	0.01263278	275.34266724
85.00000000	0.36349205	187.57909390	0.00000675	0.01257038	274.56004301
86.00000000	0.30294815	187.43729389	0.00000563	0.01256211	274.45624686
87.00000000	0.25245374	187.29549389	0.00000470	0.01255383	274.35241144
88.00000000	0.21034653	187.15369389	0.00000392	0.01254555	274.24853671
89.00000000	0.17523821	187.01189389	0.00000326	0.01253727	274.14462262
90.00000000	0.18359000	186.86999512	0.00000342	0.01252898	274.04059670
91.00000000	0.15381000	186.86999512	0.00000287	0.01252898	274.04059670
92.00000000	0.12816838	187.78219509	0.00000238	0.01258222	274.70864269
93.00000000	0.10689589	188.69439507	0.00000197	0.01263536	275.37506803
94.00000000	0.08923213	189.60659504	0.00000164	0.01268840	276.03988448
95.00000000	0.07455178	190.51879501	0.00000136	0.01274134	276.70310361
96.00000000	0.06234012	191.43099499	0.00000113	0.01279417	277.36473690
97.00000000	0.05217309	192.34319496	0.00000094	0.01284690	278.02479566
98.00000000	0.04370099	193.25539494	0.00000079	0.01289953	278.68329108
99.00000000	0.03663519	194.16759491	0.00000066	0.01295206	279.34023422
100.00000000	0.03201000	195.08000183	0.00000057	0.01300451	279.99578452
101.00000000	0.02690059	197.83200192	0.00000047	0.01316208	281.96382297
102.00000000	0.02266111	200.58400202	0.00000039	0.01331876	283.91821987
103.00000000	0.01913443	203.33600211	0.00000033	0.01347456	285.85925504
104.00000000	0.01619338	206.08800220	0.00000027	0.01362948	287.78719882
105.00000000	0.01448000	208.83999634	0.00000024	0.01378354	289.70230845
106.00000000	0.01232434	215.07199621	0.00000020	0.01412927	293.99304093
107.00000000	0.01053801	221.30399609	0.00000017	0.01447074	298.22204598
108.00000000	0.00904987	227.53599596	0.00000014	0.01480806	302.39191341
109.00000000	0.00780391	233.76799583	0.00000012	0.01514135	306.50505688
110.00000000	0.00710000	240.00000000	0.00000010	0.01547071	310.56373292
111.00000000	0.00617922	252.00000000	0.00000009	0.01609423	318.23312810
112.00000000	0.00541273	264.00000000	0.00000007	0.01670427	325.72199101
113.00000000	0.00476931	276.00000000	0.00000006	0.01730151	333.04250035
114.00000000	0.00422508	288.00000000	0.00000005	0.01788656	340.20552413
115.00000000	0.00401000	300.00000000	0.00000005	0.01846002	347.22080908
116.00000000	0.00358634	312.00000000	0.00000004	0.01902241	354.09713621
117.00000000	0.00322099	324.00000000	0.00000003	0.01957425	360.84244967
118.00000000	0.00290418	336.00000000	0.00000003	0.02011603	367.46396434
119.00000000	0.00262807	348.00000000	0.00000003	0.02064818	373.96825627
120.00000000	0.00254000	360.00000000	0.00000002	0.02117113	380.36133914
121.00000000	0.00231346	371.44600010	0.00000002	0.02166171	386.36071436
122.00000000	0.00211311	382.89200020	0.00000002	0.02214460	392.26834551
123.00000000	0.00193526	394.33800030	0.00000002	0.02262010	398.08831705
124.00000000	0.00177685	405.78400040	0.00000002	0.02308848	403.82441910
125.00000000	0.00174000	417.23001099	0.00000001	0.02355002	409.48018141
126.00000000	0.00160482	427.63801098	0.00000001	0.02396398	414.55605976
127.00000000	0.00148302	438.04601097	0.00000001	0.02437268	419.57053567
128.00000000	0.00137300	448.45401096	0.00000001	0.02477628	424.52578500
129.00000000	0.00127340	458.86201096	0.00000001	0.02517494	429.42385803
130.00000000	0.00125000	469.26998901	0.00000001	0.02556883	434.26667930
131.00000000	0.00116304	478.30598927	0.00000001	0.02590704	438.42774209
132.00000000	0.00108359	487.34198952	0.00000001	0.02624185	442.54968232
